index,subject_img_1,background_img,prompt
00031,IntelligentVBench/images/Compositional_MI2V/subject1/00031_subject1.png,,"Hands hold the Xbox controller in the image. Right thumb rests on one stick, left thumb on an adjacent stick. Camera pans around the device, revealing more surface as it rotates. Fingers point toward other control buttons. Both hands then turn the Xbox controller over to show its front panel, after which thumbs resume moving along the top joysticks."
00032,IntelligentVBench/images/Compositional_MI2V/subject1/00032_subject1.png,,"The man in the image talks animatedly, turning his head slightly toward his companion, raises both hands above his head, then lowers them. The man on the left sits still, facing him attentively."
00033,IntelligentVBench/images/Compositional_MI2V/subject1/00033_subject1.png,,"A person holds the toy kangaroo in the image between their fingers. Their thumb gently moves up and down, causing the toy kangaroo to subtly wiggle back and forth."
00034,IntelligentVBench/images/Compositional_MI2V/subject1/00034_subject1.png,,"A person holds the black remote-controlled Kraton monster truck in the image with one hand and gently strokes its black bodywork back and forth along the hood and side panels with the other, while slightly rocking the vehicle from side to side as they examine it."
00035,IntelligentVBench/images/Compositional_MI2V/subject1/00035_subject1.png,,"A person's hand, adorned with pink nail polish and gold jewelry, holds the beige sandal in the image. The hand rotates the beige sandal, turning it to show different angles, including a price tag sticker on its side."
00036,IntelligentVBench/images/Compositional_MI2V/subject1/00036_subject1.png,,A pair of hands holds the green and black camouflage backpack in the image initially facing downwards. The hands rotate the bag completely around and then pull open the main zipper at the top of the bag.
00037,IntelligentVBench/images/Compositional_MI2V/subject1/00037_subject1.png,,A person holds the circular metallic knob in the image steady between their fingers.
00038,IntelligentVBench/images/Compositional_MI2V/subject1/00038_subject1.png,,A pair of hands works meticulously over the plaid fabric strip in the image knotted onto several thin wires.
00039,IntelligentVBench/images/Compositional_MI2V/subject1/00039_subject1.png,,A person wearing a blue glove holds the black digital camera in the image.
00040,IntelligentVBench/images/Compositional_MI2V/subject1/00040_subject1.png,,"The lion in the image, adorned with a fruit-crown, speaks with animation, mouth open wide, eyes widening. He smiles broadly, raising both paws in a friendly greeting."
00041,IntelligentVBench/images/Compositional_MI2V/subject1/00041_subject1.png,,"The red convertible car in the image drives at speed, making tight, sharp turns around many orange traffic cones on the paved area."
00042,IntelligentVBench/images/Compositional_MI2V/subject1/00042_subject1.png,,"The police officer in the image begins to talk,  gesturing with his hands—raising one. The person in green overalls stands still, facing the police officer without significant movement."
00043,IntelligentVBench/images/Compositional_MI2V/subject1/00043_subject1.png,,A hand with black-and-white chevron nail polish holds the ornate white headpiece in the image and gently rotates it.
00044,IntelligentVBench/images/Compositional_MI2V/subject1/00044_subject1.png,,"The blue glass sphere in the image glides smoothly along a curved wooden track, rolling steadily down before disappearing out of view below the frame."
00045,IntelligentVBench/images/Compositional_MI2V/subject1/00045_subject1.png,,"The robot in the image stands motionless on the floor beside the turnstile, its blue light consistently on."
00046,IntelligentVBench/images/Compositional_MI2V/subject1/00046_subject1.png,,"A person holds the bag of grains in the image above an orange bucket and tilts it forward, causing the grains to pour out in a continuous stream into the container beneath."
00047,IntelligentVBench/images/Compositional_MI2V/subject1/00047_subject1.png,,"A squirrel in the image, initially near pine branches, lowers its head to eat seeds from a pile below."
00048,IntelligentVBench/images/Compositional_MI2V/subject1/00048_subject1.png,,"A man stands at a kitchen counter, holding the black mesh strainer in the image over a pie crust, repeatedly shaking it back and forth to sift its contents onto the pie crust beneath."
00049,IntelligentVBench/images/Compositional_MI2V/subject1/00049_subject1.png,,"The excavator in the image's long arm, equipped with a black grapple, lifts upward and pivots slightly right. Its main boom rotates as it ascends above the construction area."
00050,IntelligentVBench/images/Compositional_MI2V/subject1/00050_subject1.png,,A hand grips the roasted meat in the image with a pair of metal tongs and lifts it steadily out of a red pot filled with liquid.
00051,IntelligentVBench/images/Compositional_MI2V/subject1/00051_subject1.png,,"The red bird in the image talks in front of a group of birds, slips with one foot, and kicks the fruit off the table."
00052,IntelligentVBench/images/Compositional_MI2V/subject1/00052_subject1.png,,The man in the image spits out water and smiles.
00053,IntelligentVBench/images/Compositional_MI2V/subject1/00053_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00053_background.png,"The man in the first image leans against a stone railing, looking at the view below over the background in the second image. As the camera pans slowly right, his position shifts in the frame, moving toward the left edge over time."
00054,IntelligentVBench/images/Compositional_MI2V/subject1/00054_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00054_background.png,"The woman in the first image speaks over the background in the second image, her mouth opening and closing, facial expressions changing dynamically."
00055,IntelligentVBench/images/Compositional_MI2V/subject1/00055_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00055_background.png,"The man in the first image's initially somber expression slowly transforms over the background in the second image; his lips curve upwards, and by the end, he is beaming with a wide, happy grin."
00056,IntelligentVBench/images/Compositional_MI2V/subject1/00056_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00056_background.png,"The man in the first image, initially holding a smartphone over the background shown in the second image, lifts his head slightly and brings a second small item into view with his right hand for examination."
00057,IntelligentVBench/images/Compositional_MI2V/subject1/00057_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00057_background.png,The man in the first image talks while leaning over his sleeping companion over the background shown in the second image.
00058,IntelligentVBench/images/Compositional_MI2V/subject1/00058_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00058_background.png,"The camera gradually zooms in on the woman in the first image's face over the background in the second image. As she speaks, her mouth opens and closes, and her head moves slightly forward and downward."
00059,IntelligentVBench/images/Compositional_MI2V/subject1/00059_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00059_background.png,"The woman in the first image stands holding a wicker basket full of groceries and a black backpack on her shoulder over the background shown in the second image. She turns slightly to the side, reaches into the backpack with her right hand, searches its contents, and lifts her head slightly."
00060,IntelligentVBench/images/Compositional_MI2V/subject1/00060_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00060_background.png,"The woman in the first image, initially looking up with a surprised expression over the background shown in the second image, briefly closes her eyes. Subsequently, she begins to talk, lips parting and rejoining as she speaks while keeping her grip on the steering wheel."
00061,IntelligentVBench/images/Compositional_MI2V/subject1/00061_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00061_background.png,The zongzi in the first image shift across the scene over the background in the second image due to a slow camera pan.
00062,IntelligentVBench/images/Compositional_MI2V/subject1/00062_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00062_background.png,"In the first image, the man, initially smiling and looking away over the background in the second image, raises his right arm holding a marker, then turns toward the whiteboard and draws a horizontal line along its upper edge with deliberate motion."
00063,IntelligentVBench/images/Compositional_MI2V/subject1/00063_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00063_background.png,"A woman holds up the pink handbag in the first image over the background shown in the second image, talking throughout the sequence.  She then lifts the handle higher before turning the bag toward her body."
00064,IntelligentVBench/images/Compositional_MI2V/subject1/00064_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00064_background.png,"The woman in the first image speaks over the background in the second image, her mouth opening and closing repeatedly."
00065,IntelligentVBench/images/Compositional_MI2V/subject1/00065_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00065_background.png,"The red panda in the first image sits on a tree branch over the background shown in the second image, chewing on a bundle of green bamboo leaves held in its paws and subtly turning its head side to side while eating."
00066,IntelligentVBench/images/Compositional_MI2V/subject1/00066_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00066_background.png,"The black bird with a white beak in the first image stands motionless in the shallows among tall reeds over the background shown in the second image, making slight, repetitive head movements as it dips toward the water's surface and lifts again."
00067,IntelligentVBench/images/Compositional_MI2V/subject1/00067_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00067_background.png,"The man in the first image looks at the camera over the background in the second image, then speaks, opening his mouth widely. As he talks, he lifts his right hand toward the camera, spreading all five fingers expressively before lowering it."
00068,IntelligentVBench/images/Compositional_MI2V/subject1/00068_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00068_background.png,"A man holds the white butterfly-shaped object in the first image over the background shown in the second image. As he talks, his facial expressions become more engaged."
00069,IntelligentVBench/images/Compositional_MI2V/subject1/00069_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00069_background.png,"The woman in the first image speaks animatedly over the background shown in the second image, using hand gestures to emphasize her words."
00070,IntelligentVBench/images/Compositional_MI2V/subject1/00070_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00070_background.png,"In the first image, the man begins by crouching beside an elevated ramp over the background shown in the second image. He then leaps forward off the edge, pushing against it. After landing smoothly on the ramp, he continues sliding toward the camera."
00071,IntelligentVBench/images/Compositional_MI2V/subject1/00071_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00071_background.png,"The group of schoolchildren in the first image performs a synchronized dance on a green field over the background shown in the second image. They run forward in unison, bodies swaying rhythmically."
00072,IntelligentVBench/images/Compositional_MI2V/subject1/00072_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00072_background.png,"The woman in the first image lowers her arms and brings them together in front of her body over the background shown in the second image. She then spreads her arms apart again, gesturing over the ingredients on the counter."
00073,IntelligentVBench/images/Compositional_MI2V/subject1/00073_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00073_background.png,"The man in the first image talks over the background in the second image, causing his mouth to open and close and his facial expressions to change."
00074,IntelligentVBench/images/Compositional_MI2V/subject1/00074_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00074_background.png,"The woman in the first image talks over the background in the second image, causing her mouth to open and close and her lips to change shape. Her head shifts slightly downward then returns to its original position."
00075,IntelligentVBench/images/Compositional_MI2V/subject1/00075_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00075_background.png,"The woman in the first image talks over the background in the second image, her mouth opening and closing, lips forming different shapes, facial expressions shifting, blinking periodically, and making slight head movements while speaking directly to the camera."
00076,IntelligentVBench/images/Compositional_MI2V/subject1/00076_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00076_background.png,"The woman in the first image talks over the background in the second image, her mouth opening and closing, left hand lifting and making small gestures away from her body while holding a glass of wine in her right hand."
00077,IntelligentVBench/images/Compositional_MI2V/subject1/00077_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00077_background.png,"The man in the first image begins with his arms spread wide over the background shown in the second image, then makes a series of expressive gestures."
00078,IntelligentVBench/images/Compositional_MI2V/subject1/00078_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00078_background.png,"In the first image, the woman holds her long blonde hair upwards with both hands while displaying a sparkly blue shrug over the background in the second image."
00079,IntelligentVBench/images/Compositional_MI2V/subject1/00079_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00079_background.png,"The animated green bird-like creature in the first image, initially resting with its eyes closed over the background shown in the second image, suddenly snaps awake, eyelids springing up to reveal large, round, orange-rimmed eyes that gape widely."
00080,IntelligentVBench/images/Compositional_MI2V/subject1/00080_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00080_background.png,"A woman holds up the light blue button-up shirt in the first image, spreading it open with both hands over the background shown in the second image."
00081,IntelligentVBench/images/Compositional_MI2V/subject1/00081_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00081_background.png,"The woman in the first image stands beside a large round bed over the background shown in the second image, then gradually sits down slightly on its edge."
00082,IntelligentVBench/images/Compositional_MI2V/subject1/00082_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00082_background.png,The monkey in the first image sits motionless against one of the rocks over the background shown in the second image. Its mouth opens wide in a shout and closes into surprise repeatedly.
00083,IntelligentVBench/images/Compositional_MI2V/subject1/00083_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00083_background.png,"The man in the first image sits, talking animatedly over the background in the second image, holding a tablet in his left hand. His right hand moves expressively."
00084,IntelligentVBench/images/Compositional_MI2V/subject1/00084_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00084_background.png,The wooden spatula in the first image repeatedly stirs a mixture of shredded carrots and onions in a sizzling pan over the background shown in the second image.
00085,IntelligentVBench/images/Compositional_MI2V/subject1/00085_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00085_background.png,A pair of hands with black nail polish holds the pink crystalline bird sculpture in the first image over the background shown in the second image. The hands rotate the pink crystalline bird sculpture back and forth to display its facets and textures under the light.
00086,IntelligentVBench/images/Compositional_MI2V/subject1/00086_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00086_background.png,"The man in the first image talks directly to the camera over the background in the second image, his mouth moving and facial expressions shifting, subtly nodding and moving his head."
00087,IntelligentVBench/images/Compositional_MI2V/subject1/00087_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00087_background.png,"A bright flash erupts from the tank in the first image's cannon over the background shown in the second image. Immediately after, a massive explosion detonates behind the tank, sending a plume of dark smoke billowing outward."
00088,IntelligentVBench/images/Compositional_MI2V/subject1/00088_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00088_background.png,"The man in the first image slowly turns his head to the side over the background in the second image, gradually revealing his face while keeping a steady gaze forward."
00089,IntelligentVBench/images/Compositional_MI2V/subject1/00089_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00089_background.png,"The woman in the first image, initially holding an extended side angle yoga pose with one leg elevated over the background shown in the second image, smoothly lowers her raised leg to the ground and then raises both arms straight up overhead as part of another yoga sequence."
00090,IntelligentVBench/images/Compositional_MI2V/subject1/00090_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00090_background.png,"A pair of hands holds the gray skirt with an elastic waistband in the first image over the background shown in the second image. Fingers work together, pulling and adjusting the top edge of the elastic band."
00091,IntelligentVBench/images/Compositional_MI2V/subject1/00091_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00091_background.png,"The woman in the first image, who initially holds a picture frame with a gentle smile over the background shown in the second image, transitions through emotions. Her smile fades, replaced by sorrowful contemplation as she lowers her gaze."
00092,IntelligentVBench/images/Compositional_MI2V/subject1/00092_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00092_background.png,"The woman in the first image's facial expression changes as she talks over the background shown in the second image; her mouth opens and closes, lips part and press together, eyebrows shift slightly while maintaining eye contact with the man opposite her."
00093,IntelligentVBench/images/Compositional_MI2V/subject1/00093_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00093_background.png,"The yellow train in the first image's facial expression shifts over the background in the second image; its mouth alternates between open wide, closed tightly, and a gentle smile. Its eyes blink, sometimes narrowing to slits before returning to wide-open, and occasionally squint shut together before reopening."
00094,IntelligentVBench/images/Compositional_MI2V/subject1/00094_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00094_background.png,"The man in the first image, aiming an archery bow over the background shown in the second image, releases an arrow."
00095,IntelligentVBench/images/Compositional_MI2V/subject1/00095_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00095_background.png,"The fluffy orange and white cat in the first image eats grass while lowering its head close to the ground over the background shown in the second image, repeatedly moving its head down into the grass blades. Towards the end, it slowly raises its head higher, opening its eyes wide as the camera pans upward to reveal its face."
00096,IntelligentVBench/images/Compositional_MI2V/subject1/00096_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00096_background.png,"The man in the first image walks through a desolate cornfield over the background shown in the second image, holding a rifle with both hands, observing his surroundings."
00097,IntelligentVBench/images/Compositional_MI2V/subject1/00097_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00097_background.png,The man in the first image with a serious expression walks through a police station hallway and enters an office over the background shown in the second image.
00098,IntelligentVBench/images/Compositional_MI2V/subject1/00098_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00098_background.png,The man in the first image stands up to talk to another man over the background in the second image.
00099,IntelligentVBench/images/Compositional_MI2V/subject1/00099_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00099_background.png,"The woman in the first image lies on her stomach on the bed over the background shown in the second image, looks at her phone, then gets up."
00100,IntelligentVBench/images/Compositional_MI2V/subject1/00100_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00100_background.png,"The woman in the first image on the stairs, talking and gesturing as she walks down over the background shown in the second image."
00101,IntelligentVBench/images/Compositional_MI2V/subject1/00101_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00101_background.png,"The yellow food truck with a giant corn cob on its roof in the first image drives on a country road over the background shown in the second image, passing a sign."
00102,IntelligentVBench/images/Compositional_MI2V/subject1/00102_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00102_background.png,"The red and gray robot in the first image stands on a futuristic train moving through a desert over the background shown in the second image, raising its hammer-like arm."
00103,IntelligentVBench/images/Compositional_MI2V/subject1/00103_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00103_background.png,"The man in the first image sitting on an airplane over the background shown in the second image has a tense expression, then suddenly leans forward, reaching into the bag on the back of the seat in front of him."
00104,IntelligentVBench/images/Compositional_MI2V/subject1/00104_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00104_background.png,"The man in the first image stands on a boat over the background shown in the second image, walking toward and speaking to another person."
00105,IntelligentVBench/images/Compositional_MI2V/subject1/00105_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00105_background.png,"The dark gray Citroën C3 Aircross SUV in the first image drives slowly on a rugged mountain road over the background shown in the second image, with majestic mountains in the background."
00106,IntelligentVBench/images/Compositional_MI2V/subject1/00106_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00106_background.png,Two men look at each other in front of a whiteboard filled with notes; the man in the first image lowers his head to rummage through a bag over the background shown in the second image.
00107,IntelligentVBench/images/Compositional_MI2V/subject1/00107_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00107_background.png,"On a dusty road, the man in the first image picks up a gun over the background in the second image, a woman is behind him, and a horse-drawn carriage is in the background."
00108,IntelligentVBench/images/Compositional_MI2V/subject1/00108_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00108_background.png,"The monkey in the first image runs on a city street over the background in the second image, surrounded by pedestrians and buildings."
00109,IntelligentVBench/images/Compositional_MI2V/subject1/00109_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00109_background.png,The white wolf in a suit in the first image speaks angrily over the background in the second image.
00110,IntelligentVBench/images/Compositional_MI2V/subject1/00110_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00110_background.png,"The woman in the first image talks while walking backward over the background in the second image, then the camera turns to a red-haired girl."
00111,IntelligentVBench/images/Compositional_MI2V/subject1/00111_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00111_background.png,"The man in the first image walks along a wooden fence over the background shown in the second image, puts mail into a mailbox labeled 'HERDMANS', then the camera pans to a sign that reads 'BEWARE OF CAT'."
00112,IntelligentVBench/images/Compositional_MI2V/subject1/00112_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00112_background.png,"The woman in the first image walks indoors over the background shown in the second image, removes her sunglasses, and looks around."
00113,IntelligentVBench/images/Compositional_MI2V/subject1/00113_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00113_background.png,"A messy-haired woman in the first image walks forward on sandy ground over the background in the second image, with two people watching her from behind."
00114,IntelligentVBench/images/Compositional_MI2V/subject1/00114_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00114_background.png,"The vintage pickup truck in the first image drives on a small road over the background shown in the second image, turns a corner, and disappears. The sky is overcast."
00115,IntelligentVBench/images/Compositional_MI2V/subject1/00115_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00115_background.png,"The man in the first image talks to a young black man on the street over the background in the second image, then turns and walks away."
00116,IntelligentVBench/images/Compositional_MI2V/subject1/00116_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00116_background.png,"The group of children in the first image run down a bright kindergarten hallway, smiling over the background shown in the second image."
00117,IntelligentVBench/images/Compositional_MI2V/subject1/00117_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00117_background.png,"The sheep in the first image holds a rabbit's hand and talks to her over the background in the second image, then turns and walks away."
00118,IntelligentVBench/images/Compositional_MI2V/subject1/00118_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00118_background.png,"The man in the first image walks out of a garage over the background shown in the second image, quickly raises a shotgun, and aims to the right with a serious expression."
00119,IntelligentVBench/images/Compositional_MI2V/subject1/00119_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00119_background.png,"The woman in the first image moves forward over the background in the second image, her expression shifts from a smile to an animated speaking expression with her mouth opening and closing."
00120,IntelligentVBench/images/Compositional_MI2V/subject1/00120_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00120_background.png,"The woman in the first image lowers her head, then looks up at the camera over the background shown in the second image, her head swaying side to side, and her body swaying slightly. Her facial expression changes from neutral to a smile, with her mouth opening and closing as if speaking."
00121,IntelligentVBench/images/Compositional_MI2V/subject1/00121_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00121_background.png,"The woman in the first image turns her head to the left side of the screen over the background shown in the second image, lowers her head, turns back to face the camera with a smile changing to a bright grin, opens her mouth to speak."
00122,IntelligentVBench/images/Compositional_MI2V/subject1/00122_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00122_background.png,"The woman in the first image is singing into the microphone over the background shown in the second image, her eyes alternately opening and closing, mouth opening and closing as she sings, head swaying slightly side to side with the rhythm."
00123,IntelligentVBench/images/Compositional_MI2V/subject1/00123_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00123_background.png,"The ballerina in the first image dances under the spotlight over the background shown in the second image, spinning clockwise once while stretching her hands upward."
00124,IntelligentVBench/images/Compositional_MI2V/subject1/00124_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00124_background.png,"The woman in the first image sits cross-legged on the bed over the background shown in the second image. She glances to the front-left, then brushes her hair aside with her left hand. She leans forward and types on her laptop. Suddenly, the candle on the wooden shelf behind her lights up."
00125,IntelligentVBench/images/Compositional_MI2V/subject1/00125_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject1/00125_background.png,"In the first image, the man keeps his head down and fastens buttons with both hands over the background in the second image. Then he lifts his head, lowers his hands, and takes a step forward. The camera pulls back, revealing the building behind him."
