index,first_frame,last_frame,prompt
00029,IntelligentVBench/images/Interpolative_DI2V/00029_first.png,IntelligentVBench/images/Interpolative_DI2V/00029_last.png,"Boy shifts gaze upward, revealing building as he speaks under sunny sky."
00030,IntelligentVBench/images/Interpolative_DI2V/00030_first.png,IntelligentVBench/images/Interpolative_DI2V/00030_last.png,"Man looks down thoughtfully, then wipes tears from his eyes."
00031,IntelligentVBench/images/Interpolative_DI2V/00031_first.png,IntelligentVBench/images/Interpolative_DI2V/00031_last.png,Camera zooms out from oil cap to reveal full BMW engine bay.
00032,IntelligentVBench/images/Interpolative_DI2V/00032_first.png,IntelligentVBench/images/Interpolative_DI2V/00032_last.png,"Girl shows toy, boy watches, then both sit to play together."
00033,IntelligentVBench/images/Interpolative_DI2V/00033_first.png,IntelligentVBench/images/Interpolative_DI2V/00033_last.png,"Camera pans right, capturing cars and storefronts under cloudy skies."
00034,IntelligentVBench/images/Interpolative_DI2V/00034_first.png,IntelligentVBench/images/Interpolative_DI2V/00034_last.png,Pan left from glassware case to reveal stone alley with plants and shops.
00035,IntelligentVBench/images/Interpolative_DI2V/00035_first.png,IntelligentVBench/images/Interpolative_DI2V/00035_last.png,"Camera pans left, revealing tourists with umbrellas walking past temple structures."
00036,IntelligentVBench/images/Interpolative_DI2V/00036_first.png,IntelligentVBench/images/Interpolative_DI2V/00036_last.png,"Camera pans left, revealing seawall, cars, and distant hills under cloudy sky."
00037,IntelligentVBench/images/Interpolative_DI2V/00037_first.png,IntelligentVBench/images/Interpolative_DI2V/00037_last.png,"Camera pans left, revealing the traffic."
00038,IntelligentVBench/images/Interpolative_DI2V/00038_first.png,IntelligentVBench/images/Interpolative_DI2V/00038_last.png,"From traffic light to historic building, capturing city life in motion."
00039,IntelligentVBench/images/Interpolative_DI2V/00039_first.png,IntelligentVBench/images/Interpolative_DI2V/00039_last.png,"Car moves forward on highway, passing under signs and alongside trucks."
00040,IntelligentVBench/images/Interpolative_DI2V/00040_first.png,IntelligentVBench/images/Interpolative_DI2V/00040_last.png,"Man uses phone, then buys food from vendor under beach umbrellas."
00041,IntelligentVBench/images/Interpolative_DI2V/00041_first.png,IntelligentVBench/images/Interpolative_DI2V/00041_last.png,"Walking under stone archway, tourists ahead, shadows lengthen as camera advances."
00042,IntelligentVBench/images/Interpolative_DI2V/00042_first.png,IntelligentVBench/images/Interpolative_DI2V/00042_last.png,Man subtly tilts head back while listening intently with eyes closed.
00043,IntelligentVBench/images/Interpolative_DI2V/00043_first.png,IntelligentVBench/images/Interpolative_DI2V/00043_last.png,"Camera moves from behind men into empty, sunlit alley toward distant archway."
00044,IntelligentVBench/images/Interpolative_DI2V/00044_first.png,IntelligentVBench/images/Interpolative_DI2V/00044_last.png,"Man ties shoes, adjusts outfit, then faces camera confidently in closet."
00045,IntelligentVBench/images/Interpolative_DI2V/00045_first.png,IntelligentVBench/images/Interpolative_DI2V/00045_last.png,Woman's smile fades to concern as she turns to speak urgently.
00046,IntelligentVBench/images/Interpolative_DI2V/00046_first.png,IntelligentVBench/images/Interpolative_DI2V/00046_last.png,"Boys flee as angry man gestures, then turns away, leaving empty hallway."
00047,IntelligentVBench/images/Interpolative_DI2V/00047_first.png,IntelligentVBench/images/Interpolative_DI2V/00047_last.png,"Hand removes gingerbread house cookie, leaving empty lime green plate."
00048,IntelligentVBench/images/Interpolative_DI2V/00048_first.png,IntelligentVBench/images/Interpolative_DI2V/00048_last.png,"Girl sways and gestures while singing, ending with a turn away."
00049,IntelligentVBench/images/Interpolative_DI2V/00049_first.png,IntelligentVBench/images/Interpolative_DI2V/00049_last.png,"They smile, then fall into the water, splashing and submerging completely."
00050,IntelligentVBench/images/Interpolative_DI2V/00050_first.png,IntelligentVBench/images/Interpolative_DI2V/00050_last.png,Scissors slice litchi; hand peels back skin to reveal juicy white flesh.
00051,IntelligentVBench/images/Interpolative_DI2V/00051_first.png,IntelligentVBench/images/Interpolative_DI2V/00051_last.png,"Man lifts phone to ear, shifting from thoughtfulness to focused concern."
00052,IntelligentVBench/images/Interpolative_DI2V/00052_first.png,IntelligentVBench/images/Interpolative_DI2V/00052_last.png,"Woman turns away, man remains shocked amid tall grass."
00053,IntelligentVBench/images/Interpolative_DI2V/00053_first.png,IntelligentVBench/images/Interpolative_DI2V/00053_last.png,Camera zooms in on book as man reads to Elmo and Cookie Monster.
00054,IntelligentVBench/images/Interpolative_DI2V/00054_first.png,IntelligentVBench/images/Interpolative_DI2V/00054_last.png,"Rabbit dances as camera pulls back, revealing more playground."
00055,IntelligentVBench/images/Interpolative_DI2V/00055_first.png,IntelligentVBench/images/Interpolative_DI2V/00055_last.png,"Camera pans left, revealing a second character at the table."
00056,IntelligentVBench/images/Interpolative_DI2V/00056_first.png,IntelligentVBench/images/Interpolative_DI2V/00056_last.png,Camera tilts up from basketball to reveal focused men's faces.
00057,IntelligentVBench/images/Interpolative_DI2V/00057_first.png,IntelligentVBench/images/Interpolative_DI2V/00057_last.png,"Hands lift rice mound, grains cascade down in slow motion."
00058,IntelligentVBench/images/Interpolative_DI2V/00058_first.png,IntelligentVBench/images/Interpolative_DI2V/00058_last.png,Red sauce pours over grilled fish and leeks in a steaming pot.
00059,IntelligentVBench/images/Interpolative_DI2V/00059_first.png,IntelligentVBench/images/Interpolative_DI2V/00059_last.png,Camera tilts up to reveal two women's faces at a party.
00060,IntelligentVBench/images/Interpolative_DI2V/00060_first.png,IntelligentVBench/images/Interpolative_DI2V/00060_last.png,Emotional woman transitions from teary-eyed to smiling warmly at camera.
00061,IntelligentVBench/images/Interpolative_DI2V/00061_first.png,IntelligentVBench/images/Interpolative_DI2V/00061_last.png,Girl in red cloak falls after being pushed by goats.
00062,IntelligentVBench/images/Interpolative_DI2V/00062_first.png,IntelligentVBench/images/Interpolative_DI2V/00062_last.png,"Camera zooms out, revealing more of the school and surroundings."
00063,IntelligentVBench/images/Interpolative_DI2V/00063_first.png,IntelligentVBench/images/Interpolative_DI2V/00063_last.png,"Blue character emerges, followed by others, as guards hold torches."
00064,IntelligentVBench/images/Interpolative_DI2V/00064_first.png,IntelligentVBench/images/Interpolative_DI2V/00064_last.png,"Brown-haired girl watches pink-haired woman leave, then reacts with surprise and sadness."
00065,IntelligentVBench/images/Interpolative_DI2V/00065_first.png,IntelligentVBench/images/Interpolative_DI2V/00065_last.png,"Camera zooms out to reveal horse, fence, and water barrel in sunny yard."
00066,IntelligentVBench/images/Interpolative_DI2V/00066_first.png,IntelligentVBench/images/Interpolative_DI2V/00066_last.png,"The solo rabbit meets three others, forming a group in the forest."
00067,IntelligentVBench/images/Interpolative_DI2V/00067_first.png,IntelligentVBench/images/Interpolative_DI2V/00067_last.png,Silver Golf GTI drives away along winding forest road.
00068,IntelligentVBench/images/Interpolative_DI2V/00068_first.png,IntelligentVBench/images/Interpolative_DI2V/00068_last.png,"Girl picks pea pod, shifts from surprise to joyful smile."
00069,IntelligentVBench/images/Interpolative_DI2V/00069_first.png,IntelligentVBench/images/Interpolative_DI2V/00069_last.png,"Camera tilts down, revealing tree in bucket with red berries."
00070,IntelligentVBench/images/Interpolative_DI2V/00070_first.png,IntelligentVBench/images/Interpolative_DI2V/00070_last.png,"Two men exit red Tesla, walk away on brick driveway."
00071,IntelligentVBench/images/Interpolative_DI2V/00071_first.png,IntelligentVBench/images/Interpolative_DI2V/00071_last.png,"Presenter gestures broadly, then focuses on headset box while speaking."
00072,IntelligentVBench/images/Interpolative_DI2V/00072_first.png,IntelligentVBench/images/Interpolative_DI2V/00072_last.png,"Rabbit climbs down, group gathers, all look off-screen together."
00073,IntelligentVBench/images/Interpolative_DI2V/00073_first.png,IntelligentVBench/images/Interpolative_DI2V/00073_last.png,Man leans closer to inspect pink penny-farthing's lower components.
00074,IntelligentVBench/images/Interpolative_DI2V/00074_first.png,IntelligentVBench/images/Interpolative_DI2V/00074_last.png,Gloved hand adds red chili flakes to cheese-topped meatballs on wooden platter.
00075,IntelligentVBench/images/Interpolative_DI2V/00075_first.png,IntelligentVBench/images/Interpolative_DI2V/00075_last.png,Hands with wedding rings gently touch fingertips against colorful graffiti.
00076,IntelligentVBench/images/Interpolative_DI2V/00076_first.png,IntelligentVBench/images/Interpolative_DI2V/00076_last.png,Vehicles drive past tall buildings on a sunny city street.
00077,IntelligentVBench/images/Interpolative_DI2V/00077_first.png,IntelligentVBench/images/Interpolative_DI2V/00077_last.png,"Geese and ducks forage, shifting positions on grassy riverbank."
00078,IntelligentVBench/images/Interpolative_DI2V/00078_first.png,IntelligentVBench/images/Interpolative_DI2V/00078_last.png,The girl lifts her head as the cat Pokémon moves beside her.
00079,IntelligentVBench/images/Interpolative_DI2V/00079_first.png,IntelligentVBench/images/Interpolative_DI2V/00079_last.png,"Character rides scooter, holds spinning cone, expression shifts from happy to tired."
00080,IntelligentVBench/images/Interpolative_DI2V/00080_first.png,IntelligentVBench/images/Interpolative_DI2V/00080_last.png,"Person places batter-filled dish in oven, then closes the door."
00081,IntelligentVBench/images/Interpolative_DI2V/00081_first.png,IntelligentVBench/images/Interpolative_DI2V/00081_last.png,"Slug stirs, lifts head, looks dazed, and settles back down tied up."
00082,IntelligentVBench/images/Interpolative_DI2V/00082_first.png,IntelligentVBench/images/Interpolative_DI2V/00082_last.png,"Red dog exits house, smiles at bear holding blue block."
00083,IntelligentVBench/images/Interpolative_DI2V/00083_first.png,IntelligentVBench/images/Interpolative_DI2V/00083_last.png,Camera shifts from woman at vanity to man applying lotion.
00084,IntelligentVBench/images/Interpolative_DI2V/00084_first.png,IntelligentVBench/images/Interpolative_DI2V/00084_last.png,"Puppi and Chocobo skate together, then stop smiling at the camera."
00085,IntelligentVBench/images/Interpolative_DI2V/00085_first.png,IntelligentVBench/images/Interpolative_DI2V/00085_last.png,"Camera pans right, revealing all three vehicles in a row."
00086,IntelligentVBench/images/Interpolative_DI2V/00086_first.png,IntelligentVBench/images/Interpolative_DI2V/00086_last.png,"Chopsticks lift kimchi and porridge, showcasing Korean dish textures and colors."
00087,IntelligentVBench/images/Interpolative_DI2V/00087_first.png,IntelligentVBench/images/Interpolative_DI2V/00087_last.png,"Man picks apple, then holds it while surveying orchard under cloudy sky."
00088,IntelligentVBench/images/Interpolative_DI2V/00088_first.png,IntelligentVBench/images/Interpolative_DI2V/00088_last.png,"Girl walks, stumbles, and falls backward onto couch in animated room."
00089,IntelligentVBench/images/Interpolative_DI2V/00089_first.png,IntelligentVBench/images/Interpolative_DI2V/00089_last.png,"Tire crushes yellow cup, spilling colorful liquids on wet asphalt."
00090,IntelligentVBench/images/Interpolative_DI2V/00090_first.png,IntelligentVBench/images/Interpolative_DI2V/00090_last.png,"Man turns, raises fists, steps back as camera pulls out in control room."
00091,IntelligentVBench/images/Interpolative_DI2V/00091_first.png,IntelligentVBench/images/Interpolative_DI2V/00091_last.png,"Rabbit spins, bear waves, hedgehogs jump, petals fall, mirror reflects, rabbit faces hedgehog."
00092,IntelligentVBench/images/Interpolative_DI2V/00092_first.png,IntelligentVBench/images/Interpolative_DI2V/00092_last.png,"Old man defeats boar with punch and kick, sending it crashing into bamboo."
00093,IntelligentVBench/images/Interpolative_DI2V/00093_first.png,IntelligentVBench/images/Interpolative_DI2V/00093_last.png,"Woman rises, walks left as camera tracks, breeze moves her hair and clothes."
00094,IntelligentVBench/images/Interpolative_DI2V/00094_first.png,IntelligentVBench/images/Interpolative_DI2V/00094_last.png,"Girl turns, faces sea, smiles as breeze flutters her hair and skirt."
00095,IntelligentVBench/images/Interpolative_DI2V/00095_first.png,IntelligentVBench/images/Interpolative_DI2V/00095_last.png,"Woman sips coffee, savors it, then smiles with tilted head."
00096,IntelligentVBench/images/Interpolative_DI2V/00096_first.png,IntelligentVBench/images/Interpolative_DI2V/00096_last.png,"Man performs skateboard trick, jumps, spins board, lands balanced on it."
00097,IntelligentVBench/images/Interpolative_DI2V/00097_first.png,IntelligentVBench/images/Interpolative_DI2V/00097_last.png,"Surfer adjusts stance, rides wave leftward, splashing water amid churning sea."
00098,IntelligentVBench/images/Interpolative_DI2V/00098_first.png,IntelligentVBench/images/Interpolative_DI2V/00098_last.png,"Hands roll mat, woman stands, walks away with mat under arm."
00099,IntelligentVBench/images/Interpolative_DI2V/00099_first.png,IntelligentVBench/images/Interpolative_DI2V/00099_last.png,"Ultraman gestures, raises arm, emits golden glow as camera reveals more details."
00100,IntelligentVBench/images/Interpolative_DI2V/00100_first.png,IntelligentVBench/images/Interpolative_DI2V/00100_last.png,"Couple embraces closely, woman strokes man's neck as camera zooms in."
00101,IntelligentVBench/images/Interpolative_DI2V/00101_first.png,IntelligentVBench/images/Interpolative_DI2V/00101_last.png,"Ride spins, geese turn heads, camera pans left to reveal park."
00102,IntelligentVBench/images/Interpolative_DI2V/00102_first.png,IntelligentVBench/images/Interpolative_DI2V/00102_last.png,"Camera rotates counterclockwise, showcasing Jeep's front grille and logo."
00103,IntelligentVBench/images/Interpolative_DI2V/00103_first.png,IntelligentVBench/images/Interpolative_DI2V/00103_last.png,"Woman lifts lamb repeatedly, holds it as camera shifts left, hair blows in wind."
00104,IntelligentVBench/images/Interpolative_DI2V/00104_first.png,IntelligentVBench/images/Interpolative_DI2V/00104_last.png,"Strawberries roll off pot, pile left as camera pans left, pot exits frame."
00105,IntelligentVBench/images/Interpolative_DI2V/00105_first.png,IntelligentVBench/images/Interpolative_DI2V/00105_last.png,"Man pets dog, then gazes back at camera as camera pulls back."
00106,IntelligentVBench/images/Interpolative_DI2V/00106_first.png,IntelligentVBench/images/Interpolative_DI2V/00106_last.png,"Camera shakes and rotates counterclockwise, revealing entire cake on plate."
00107,IntelligentVBench/images/Interpolative_DI2V/00107_first.png,IntelligentVBench/images/Interpolative_DI2V/00107_last.png,"Woman crosses arms above head, tilts head back right, camera zooms in."
00108,IntelligentVBench/images/Interpolative_DI2V/00108_first.png,IntelligentVBench/images/Interpolative_DI2V/00108_last.png,"Bird transitions from angry glare to intense, focused stare."
00109,IntelligentVBench/images/Interpolative_DI2V/00109_first.png,IntelligentVBench/images/Interpolative_DI2V/00109_last.png,"Camera pulls back as woman lifts head, masks sway around her."
00110,IntelligentVBench/images/Interpolative_DI2V/00110_first.png,IntelligentVBench/images/Interpolative_DI2V/00110_last.png,"Man bites sandwich, chews with squinted eyes as camera zooms in."
00111,IntelligentVBench/images/Interpolative_DI2V/00111_first.png,IntelligentVBench/images/Interpolative_DI2V/00111_last.png,"Woman lowers hand, raises camera, turns head left, and gazes upward."
00112,IntelligentVBench/images/Interpolative_DI2V/00112_first.png,IntelligentVBench/images/Interpolative_DI2V/00112_last.png,Elderly man exits; camera shifts to younger man turning right.
00113,IntelligentVBench/images/Interpolative_DI2V/00113_first.png,IntelligentVBench/images/Interpolative_DI2V/00113_last.png,"Man walks, picks object, stands, and talks to person."
00114,IntelligentVBench/images/Interpolative_DI2V/00114_first.png,IntelligentVBench/images/Interpolative_DI2V/00114_last.png,"Man walks from porch to courtyard, stops to speak with glasses-wearing person."
00115,IntelligentVBench/images/Interpolative_DI2V/00115_first.png,IntelligentVBench/images/Interpolative_DI2V/00115_last.png,Blonde woman pulls rope; dark-haired woman watches with concern as wind blows hair.
00116,IntelligentVBench/images/Interpolative_DI2V/00116_first.png,IntelligentVBench/images/Interpolative_DI2V/00116_last.png,"Man and woman meet on bridge, smiling and talking amidst city backdrop."
00117,IntelligentVBench/images/Interpolative_DI2V/00117_first.png,IntelligentVBench/images/Interpolative_DI2V/00117_last.png,Girl in burgundy picks up puppy as another girl runs smiling toward her.
00118,IntelligentVBench/images/Interpolative_DI2V/00118_first.png,IntelligentVBench/images/Interpolative_DI2V/00118_last.png,"Young person turns, points at document, and explains investigation details."
00119,IntelligentVBench/images/Interpolative_DI2V/00119_first.png,IntelligentVBench/images/Interpolative_DI2V/00119_last.png,"Woman in red jumpsuit walks toward excavator, glancing back while speaking."
00120,IntelligentVBench/images/Interpolative_DI2V/00120_first.png,IntelligentVBench/images/Interpolative_DI2V/00120_last.png,"Car races down canyon road, drone follows from above, dust trails behind."
00121,IntelligentVBench/images/Interpolative_DI2V/00121_first.png,IntelligentVBench/images/Interpolative_DI2V/00121_last.png,Man gestures to coach as players leave; he turns to continue talking.
00122,IntelligentVBench/images/Interpolative_DI2V/00122_first.png,IntelligentVBench/images/Interpolative_DI2V/00122_last.png,"Man retrieves object from car window, then walks away in wooded area."
00123,IntelligentVBench/images/Interpolative_DI2V/00123_first.png,IntelligentVBench/images/Interpolative_DI2V/00123_last.png,"Woman leaves desk, walks down busy hospital corridor with gift and balloon."
00124,IntelligentVBench/images/Interpolative_DI2V/00124_first.png,IntelligentVBench/images/Interpolative_DI2V/00124_last.png,Woman's hand moves to cup man's face as they kiss in pool.
00125,IntelligentVBench/images/Interpolative_DI2V/00125_first.png,IntelligentVBench/images/Interpolative_DI2V/00125_last.png,Girl raises hand confidently; boy beside her frowns and watches her speak.
00126,IntelligentVBench/images/Interpolative_DI2V/00126_first.png,IntelligentVBench/images/Interpolative_DI2V/00126_last.png,Men transition from standing to synchronized arm movements in courtyard.
00127,IntelligentVBench/images/Interpolative_DI2V/00127_first.png,IntelligentVBench/images/Interpolative_DI2V/00127_last.png,"Woman exits yard, jogs to street, hugs older man."
00128,IntelligentVBench/images/Interpolative_DI2V/00128_first.png,IntelligentVBench/images/Interpolative_DI2V/00128_last.png,"Woman rises, agitated, gesturing while checking phone beside pole under clear sky."
00129,IntelligentVBench/images/Interpolative_DI2V/00129_first.png,IntelligentVBench/images/Interpolative_DI2V/00129_last.png,"Otto chases, grabs, and examines a green-stoned disc on the road."
00130,IntelligentVBench/images/Interpolative_DI2V/00130_first.png,IntelligentVBench/images/Interpolative_DI2V/00130_last.png,"Man exits truck, walks forward in desert with determined expression."
00131,IntelligentVBench/images/Interpolative_DI2V/00131_first.png,IntelligentVBench/images/Interpolative_DI2V/00131_last.png,"Tense duo suddenly turns and flees into greenery, leaving another man behind."
00132,IntelligentVBench/images/Interpolative_DI2V/00132_first.png,IntelligentVBench/images/Interpolative_DI2V/00132_last.png,Woman in red cloak walks calmly as crowd flees in panic.
00133,IntelligentVBench/images/Interpolative_DI2V/00133_first.png,IntelligentVBench/images/Interpolative_DI2V/00133_last.png,Camera shifts from boys chatting to a blue robot on ground.
00134,IntelligentVBench/images/Interpolative_DI2V/00134_first.png,IntelligentVBench/images/Interpolative_DI2V/00134_last.png,"Black minivan speeds past camera, then drives away down street."
00135,IntelligentVBench/images/Interpolative_DI2V/00135_first.png,IntelligentVBench/images/Interpolative_DI2V/00135_last.png,"Man with face tattoos sits, smiles at visitor through prison glass."
00136,IntelligentVBench/images/Interpolative_DI2V/00136_first.png,IntelligentVBench/images/Interpolative_DI2V/00136_last.png,Camera pans down from gorilla and lion to porcupine in pink dress.
00137,IntelligentVBench/images/Interpolative_DI2V/00137_first.png,IntelligentVBench/images/Interpolative_DI2V/00137_last.png,"Woman and girl walk slowly, woman places hand on girl's shoulder."
00138,IntelligentVBench/images/Interpolative_DI2V/00138_first.png,IntelligentVBench/images/Interpolative_DI2V/00138_last.png,"One woman walks away, leaving the other alone in the snow."
00139,IntelligentVBench/images/Interpolative_DI2V/00139_first.png,IntelligentVBench/images/Interpolative_DI2V/00139_last.png,Man turns toward camera while on serious phone call amid city traffic.
00140,IntelligentVBench/images/Interpolative_DI2V/00140_first.png,IntelligentVBench/images/Interpolative_DI2V/00140_last.png,"Woman walks forward, talking, as party decor and guests blur behind her."
00141,IntelligentVBench/images/Interpolative_DI2V/00141_first.png,IntelligentVBench/images/Interpolative_DI2V/00141_last.png,"Guards pass as boy and girl hide, then smile at each other with cupcakes."
00142,IntelligentVBench/images/Interpolative_DI2V/00142_first.png,IntelligentVBench/images/Interpolative_DI2V/00142_last.png,"Man in red grabs boy, turns, and flees down stairs as attackers rush up."
00143,IntelligentVBench/images/Interpolative_DI2V/00143_first.png,IntelligentVBench/images/Interpolative_DI2V/00143_last.png,Woman releases man's collar; they walk away smiling down hospital corridor.
00144,IntelligentVBench/images/Interpolative_DI2V/00144_first.png,IntelligentVBench/images/Interpolative_DI2V/00144_last.png,"Man gestures while talking, then turns and walks away from woman."
00145,IntelligentVBench/images/Interpolative_DI2V/00145_first.png,IntelligentVBench/images/Interpolative_DI2V/00145_last.png,Mike watches as pink and purple monsters walk past him on the sidewalk.
00146,IntelligentVBench/images/Interpolative_DI2V/00146_first.png,IntelligentVBench/images/Interpolative_DI2V/00146_last.png,"Woman turns, sees man, and embraces him joyfully in a crowded hall."
00147,IntelligentVBench/images/Interpolative_DI2V/00147_first.png,IntelligentVBench/images/Interpolative_DI2V/00147_last.png,"Man in pinstripe suit walks away, glancing back nervously with stain visible."
00148,IntelligentVBench/images/Interpolative_DI2V/00148_first.png,IntelligentVBench/images/Interpolative_DI2V/00148_last.png,"Boy lifts baby from crib and turns right, both smiling happily."
00149,IntelligentVBench/images/Interpolative_DI2V/00149_first.png,IntelligentVBench/images/Interpolative_DI2V/00149_last.png,Woman turns from watching others to speaking with a man on the street.
00150,IntelligentVBench/images/Interpolative_DI2V/00150_first.png,IntelligentVBench/images/Interpolative_DI2V/00150_last.png,"Man turns, walks back, bends, picks item, smiles while talking."
00151,IntelligentVBench/images/Interpolative_DI2V/00151_first.png,IntelligentVBench/images/Interpolative_DI2V/00151_last.png,"Women converse, then walk together toward church entrance."
00152,IntelligentVBench/images/Interpolative_DI2V/00152_first.png,IntelligentVBench/images/Interpolative_DI2V/00152_last.png,"Red energy ball grows in her hand, intensifying as she wields it."
00153,IntelligentVBench/images/Interpolative_DI2V/00153_first.png,IntelligentVBench/images/Interpolative_DI2V/00153_last.png,"Fox and cat speak to Pinocchio, who listens attentively outdoors."
00154,IntelligentVBench/images/Interpolative_DI2V/00154_first.png,IntelligentVBench/images/Interpolative_DI2V/00154_last.png,"Man panics, grabs boy, takes remote, stops him from playing."
00155,IntelligentVBench/images/Interpolative_DI2V/00155_first.png,IntelligentVBench/images/Interpolative_DI2V/00155_last.png,"Pink bird gestures, turns left, green birds follow in wooden hall."
00156,IntelligentVBench/images/Interpolative_DI2V/00156_first.png,IntelligentVBench/images/Interpolative_DI2V/00156_last.png,Blonde woman slowly sips from steaming mug while gazing thoughtfully off-camera.
00157,IntelligentVBench/images/Interpolative_DI2V/00157_first.png,IntelligentVBench/images/Interpolative_DI2V/00157_last.png,"Camera shifts from close-up to over-the-shoulder, revealing tense face-off with warrior."
00158,IntelligentVBench/images/Interpolative_DI2V/00158_first.png,IntelligentVBench/images/Interpolative_DI2V/00158_last.png,Sky tilts down to reveal woman on rooftop gazing at camera.
00159,IntelligentVBench/images/Interpolative_DI2V/00159_first.png,IntelligentVBench/images/Interpolative_DI2V/00159_last.png,Girl shifts from determined glance to triumphant arm raise under cloudy sky.
00160,IntelligentVBench/images/Interpolative_DI2V/00160_first.png,IntelligentVBench/images/Interpolative_DI2V/00160_last.png,"Man sips drink, then listens intently during serious conversation."
