index,subject_img_1,subject_img_2,background_img,prompt
00019,IntelligentVBench/images/Compositional_MI2V/subject2/00019_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00019_subject2.png,,"The bear in the first image lowers his gaze and turns slightly, picking up the girl in the second image who was standing near him. The bear holds the girl momentarily before placing her down by a large snowball."
00020,IntelligentVBench/images/Compositional_MI2V/subject2/00020_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00020_subject2.png,,"The elderly woman in the first image closes her eyes briefly before pointing forward. The black duck in the second image sticks its tongue out, raises a cigarette, and grabs a plate."
00021,IntelligentVBench/images/Compositional_MI2V/subject2/00021_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00021_subject2.png,,"The woman in the first image holds up the plaid blazer in the second image on a pink hanger. Her facial expressions change as she speaks, with her mouth opening and closing."
00022,IntelligentVBench/images/Compositional_MI2V/subject2/00022_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00022_subject2.png,,The woman in the first image holds the makeup brush in the second image and applies eyeshadow along her upper lash line.
00023,IntelligentVBench/images/Compositional_MI2V/subject2/00023_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00023_subject2.png,,"A hand holds a ripe yellow mango in the second image steady as a knife in the first image slices down its length, dividing the fruit into two halves."
00024,IntelligentVBench/images/Compositional_MI2V/subject2/00024_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00024_subject2.png,,The hands use the wooden spatula in the first image to stir the creamy mixture in the second image.
00025,IntelligentVBench/images/Compositional_MI2V/subject2/00025_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00025_subject2.png,,"A man holds the red squeeze bottle in the first image above the metal spoon in the second image.Then, he briefly moves the red squeeze bottle and the metal spoon away from the camera before bringing them back into view."
00026,IntelligentVBench/images/Compositional_MI2V/subject2/00026_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00026_subject2.png,,"A pair of hands works within a stainless steel sink. The right hand, holding the green and yellow sponge from the second image, scrubs the interior of the white ceramic mug from the first image that the left hand holds steady."
00027,IntelligentVBench/images/Compositional_MI2V/subject2/00027_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00027_subject2.png,,A woman's hands hold the pair of scissors in the first image as they carefully cut through a shipping label affixed to the cardboard box in the second image.
00028,IntelligentVBench/images/Compositional_MI2V/subject2/00028_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00028_subject2.png,,"The man in the first image talks continuously, bringing both hands down to operate the green smartphone in the second image."
00029,IntelligentVBench/images/Compositional_MI2V/subject2/00029_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00029_subject2.png,,The right hand grips the metal whisk in the first image and stirs the creamy mixture in the second image within a glass bowl held by the left hand.
00030,IntelligentVBench/images/Compositional_MI2V/subject2/00030_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00030_subject2.png,,"The camera pans upward over the brown seeds in the first image on a woven bamboo mat in the second image, revealing more of the mat's edge at the bottom of the frame while other parts move out of view."
00031,IntelligentVBench/images/Compositional_MI2V/subject2/00031_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00031_subject2.png,,"The man in the first image turns his head away from the camera to face the woman in the second image, opens his mouth to speak, and leans in to kiss her."
00032,IntelligentVBench/images/Compositional_MI2V/subject2/00032_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00032_subject2.png,,"The two toy unicorns initially stand still, facing each other across a box. Towards the latter part of the video, the purple toy unicorn with a yellow crown in the first image and the white toy unicorn with a gold crown in the second image both slowly retreat backward, moving further apart from one another."
00033,IntelligentVBench/images/Compositional_MI2V/subject2/00033_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00033_subject2.png,,"The camera slowly pans left, revealing the white freestanding bathtub in the first image followed by the blue patterned armchair in the second image."
00034,IntelligentVBench/images/Compositional_MI2V/subject2/00034_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00034_subject2.png,,"The curling stone in the first image glides smoothly along the white ice floor, propelled forward by the curling broom in the second image."
00035,IntelligentVBench/images/Compositional_MI2V/subject2/00035_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00035_subject2.png,,The red car in the first image and the black car in the second image drive forward together down the highway.
00036,IntelligentVBench/images/Compositional_MI2V/subject2/00036_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00036_subject2.png,,"The woman in the first image stands smiling while holding the golf cart side, then sits beside the man in the second image. The man in the second image turns around after entering the driver's seat, places hands on the steering wheel, and starts driving while talking."
00037,IntelligentVBench/images/Compositional_MI2V/subject2/00037_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00037_subject2.png,,"The man in the first image and the dog in the second image are sitting on an outdoor sofa, the man is talking and gesturing."
00038,IntelligentVBench/images/Compositional_MI2V/subject2/00038_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00038_subject2.png,,The man in the first image is talking to the woman in the second image outdoors.
00039,IntelligentVBench/images/Compositional_MI2V/subject2/00039_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00039_subject2.png,,The boy in the first image sitting in a car safety seat sprayed juice at the dog in the second image.
00040,IntelligentVBench/images/Compositional_MI2V/subject2/00040_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00040_subject2.png,,"The man in the first image hugs the girl in the second image, caresses her face, with tears in his eyes."
00041,IntelligentVBench/images/Compositional_MI2V/subject2/00041_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00041_subject2.png,,"The man in the first image frowns as he walks towards the phone, but the puppy in the second image bites the phone."
00042,IntelligentVBench/images/Compositional_MI2V/subject2/00042_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00042_subject2.png,,The astronaut in the first image is chatting with the dinosaur toy in the second image and pressing a button.
00043,IntelligentVBench/images/Compositional_MI2V/subject2/00043_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00043_subject2.png,,The police officer in the first image pushes the young girl in the second image into the back seat of a police car.
00044,IntelligentVBench/images/Compositional_MI2V/subject2/00044_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00044_subject2.png,,The woman in the first image and the man in the second image walk and talk in an ornate gallery.
00045,IntelligentVBench/images/Compositional_MI2V/subject2/00045_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00045_subject2.png,,"The man in the first image and the man in the second image were very close, and one kept talking."
00046,IntelligentVBench/images/Compositional_MI2V/subject2/00046_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00046_subject2.png,,The man in the first image and the woman in the second image run toward a person lying on the ground. The man speaks to the woman and points to a vehicle behind them.
00047,IntelligentVBench/images/Compositional_MI2V/subject2/00047_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00047_subject2.png,,"The group of five armored soldiers in the first image and the tall, furry Wookiee in the second image are fighting on a beach with explosions and lasers."
00048,IntelligentVBench/images/Compositional_MI2V/subject2/00048_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00048_subject2.png,,The woman in the first image and the woman in the second image were dancing and smiling on a modern outdoor terrace.
00049,IntelligentVBench/images/Compositional_MI2V/subject2/00049_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00049_subject2.png,,"The pink-haired troll in the first image speaks emotionally, while the blue troll in the second image stands on the left."
00050,IntelligentVBench/images/Compositional_MI2V/subject2/00050_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00050_subject2.png,,"The dog in the first image digs a hole on the beach, discovers the crab in the second image, and interacts with it."
00051,IntelligentVBench/images/Compositional_MI2V/subject2/00051_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00051_subject2.png,,"The woman in the first image has a terrified expression in the driver's cab of a dilapidated truck, while the dog in the second image jumps out of the cab beside her."
00052,IntelligentVBench/images/Compositional_MI2V/subject2/00052_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00052_subject2.png,,A brown bear in the first image and a man in the second image fell down the stone spiral staircase together.
00053,IntelligentVBench/images/Compositional_MI2V/subject2/00053_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00053_subject2.png,,"The man in the first image and the man in the second image are talking face to face, the man in the first image is speaking emotionally and gesturing."
00054,IntelligentVBench/images/Compositional_MI2V/subject2/00054_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00054_subject2.png,,The woman in the first image easily wins an arm-wrestling match against the man in the second image in a bar.
00055,IntelligentVBench/images/Compositional_MI2V/subject2/00055_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00055_subject2.png,,"The blue and purple furry monster with horns in the first image was practicing roaring at the green one-eyed monster in the second image in the living room, the latter guiding him with a dummy."
00056,IntelligentVBench/images/Compositional_MI2V/subject2/00056_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00056_subject2.png,,"The man in the first image and the woman in the second image were walking along a corridor, surrounded by people."
00057,IntelligentVBench/images/Compositional_MI2V/subject2/00057_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00057_subject2.png,,"The man in the first image and the reindeer in the second image are in the snow. The reindeer lifts the man on its head with its antlers, then throws him off."
00058,IntelligentVBench/images/Compositional_MI2V/subject2/00058_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00058_subject2.png,,"The woman in the first image waves and speaks on the sidelines of a gymnasium, while the girl in the second image smiles and claps behind her."
00059,IntelligentVBench/images/Compositional_MI2V/subject2/00059_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00059_subject2.png,,"The character in the first image jumps up, stomps on the book, widens his eyes and pulls his face. The character in the second image stands by, eating."
00060,IntelligentVBench/images/Compositional_MI2V/subject2/00060_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00060_subject2.png,,"The Lego man in the first image runs towards the camera on a city street, then gets swept underneath the vacuum cleaner in the second image from behind."
00061,IntelligentVBench/images/Compositional_MI2V/subject2/00061_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00061_subject2.png,,"In a surreal world, the pink elephant-like character in the first image talks to the blue characters in the second image."
00062,IntelligentVBench/images/Compositional_MI2V/subject2/00062_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00062_subject2.png,,"The woman in the first image starts a dance, and then the man in the second image also joins in."
00063,IntelligentVBench/images/Compositional_MI2V/subject2/00063_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00063_subject2.png,,"The man in the first image shakes his head, and talks to the girl in the second image in a purple-lit room."
00064,IntelligentVBench/images/Compositional_MI2V/subject2/00064_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00064_subject2.png,,The woman in the first image and the man in the second image dance at a royal ball at night.
00065,IntelligentVBench/images/Compositional_MI2V/subject2/00065_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00065_subject2.png,,"The man in the first image and the woman in the second image cheer excitedly in the stadium stands, with face paint on, rooting for their team."
00066,IntelligentVBench/images/Compositional_MI2V/subject2/00066_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00066_subject2.png,,"The elderly woman in the first image talks with the man in the second image, with their mouths opening and closing, their heads moving slightly."
00067,IntelligentVBench/images/Compositional_MI2V/subject2/00067_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00067_subject2.png,,"The man in the first image slowly lowers the glass in the second image from his mouth, his head lifts slightly, and his gaze looks up."
00068,IntelligentVBench/images/Compositional_MI2V/subject2/00068_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00068_subject2.png,,"The man in the first image opens his mouth to speak, and the flames in the second image in front of him are flickering."
00069,IntelligentVBench/images/Compositional_MI2V/subject2/00069_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00069_subject2.png,,"The man in the first image slowly turns his head, revealing his profile. His eyes widen, his mouth slightly opens, and his expression changes from calm to surprised. The mouse in the second image, which is on the man's hand, turns its head and looks up at him."
00070,IntelligentVBench/images/Compositional_MI2V/subject2/00070_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00070_subject2.png,,"The paintbrush in the first image moves back and forth, sweeping away the sand covering the ring in the second image, causing sand grains to fall off, revealing the shiny surface of the ring."
00071,IntelligentVBench/images/Compositional_MI2V/subject2/00071_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00071_subject2.png,,"The man in the first image is blinking, and the smoke in the second image from the cigarette in his hand rolls upward."
00072,IntelligentVBench/images/Compositional_MI2V/subject2/00072_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00072_subject2.png,,"The woman in the first image's hair flutters, and her hands move. The laundry in the second image on the clothesline flutters in the breeze."
00073,IntelligentVBench/images/Compositional_MI2V/subject2/00073_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00073_subject2.png,,"The man in the first image slightly raises his head, while slightly lifting and tilting the wooden box in the second image in front of him."
00074,IntelligentVBench/images/Compositional_MI2V/subject2/00074_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00074_subject2.png,,"The mouse in the first image jumps up, grabs the handle of the wooden crate in the second image, climbs into it, stands up, and pulls the handle, causing the wooden crate to swing back and forth."
00075,IntelligentVBench/images/Compositional_MI2V/subject2/00075_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00075_subject2.png,,"The woman in the first image slightly moves her head, her gaze on the laptop. The content on the laptop in the second image changes continuously."
00076,IntelligentVBench/images/Compositional_MI2V/subject2/00076_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00076_subject2.png,,"The man in the first image sings into the microphone in the second image, his mouth opening and closing."
00077,IntelligentVBench/images/Compositional_MI2V/subject2/00077_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00077_subject2.png,,"The woman in the first image looks up at the handgun in the second image pointed at her, her expression shifting between fear and pleading."
00078,IntelligentVBench/images/Compositional_MI2V/subject2/00078_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00078_subject2.png,,"The man in the first image slowly shifts his gaze left and then down. His eyelids droop until his eyes are closed, and his head tilts slightly right. The yellow tulip in the second image in his hand moves back and forth."
00079,IntelligentVBench/images/Compositional_MI2V/subject2/00079_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00079_subject2.png,,"The girl in the first image lifts a wet broom from the water, straightens up, and grimaces. The black cat in the second image's body moves, tail sways."
00080,IntelligentVBench/images/Compositional_MI2V/subject2/00080_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00080_subject2.png,,The woman in the first image applies makeup to her face with the makeup brush in the second image.
00081,IntelligentVBench/images/Compositional_MI2V/subject2/00081_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00081_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00081_background.png,"The man in the first image remains mostly stationary with his arms crossed, listening to the woman in the second image beside him over the background in the third image."
00082,IntelligentVBench/images/Compositional_MI2V/subject2/00082_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00082_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00082_background.png,"The  cat in the first image, initially looking angry, opens its mouth to speak, then turns its head toward the brown mouse in the second image he is holding over the background shown in the third image. As the cat continues to talk, his expression cycles through concern and annoyance. The brown mouse in the second image, is hunched over on the cat's paw."
00083,IntelligentVBench/images/Compositional_MI2V/subject2/00083_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00083_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00083_background.png,"The man in the first image slowly raises his head while looking down, then touches his forehead with his right hand before lowering it. The man in the second image stands beside him, watching him speak without much movement over the background in the third image."
00084,IntelligentVBench/images/Compositional_MI2V/subject2/00084_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00084_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00084_background.png,"The woman in the first image holds the pink-handled makeup brush in the second image up to her neck over the background shown in the third image. She opens her eyes wide and speaks, moving the pink-handled makeup brush away from her neck and toward her face."
00085,IntelligentVBench/images/Compositional_MI2V/subject2/00085_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00085_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00085_background.png,"The man in the first image talks, turning his head slightly toward the man in the second image and gesturing with his right hand over the background shown in the third image. The man in the second image speaks animatedly, showing surprise and concern, opening his mouth widely."
00086,IntelligentVBench/images/Compositional_MI2V/subject2/00086_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00086_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00086_background.png,"The gray mouse in the first image talks expressively, gesturing and shifting weight over the background shown in the third image, then turns and walks out of view to the left. The brown mouse in the second image, initially still, turns its head after the other mouse departs and runs off-screen."
00087,IntelligentVBench/images/Compositional_MI2V/subject2/00087_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00087_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00087_background.png,The woman in the first image holds the beige quilted handbag in the second image up towards the camera while speaking over the background shown in the third image.
00088,IntelligentVBench/images/Compositional_MI2V/subject2/00088_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00088_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00088_background.png,"The camera slowly pans left to right across the background in the third image. A large pile of colorful LEGO bricks in the first image, initially centered, moves steadily left while new pieces appear on the right. A silver laptop in the second image, initially at the top left corner, gradually slides out of view due to the panning motion."
00089,IntelligentVBench/images/Compositional_MI2V/subject2/00089_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00089_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00089_background.png,The woman in the first image holds the black eyeliner pencil in the second image and applies makeup to her right eye's upper lid over the background in the third image.
00090,IntelligentVBench/images/Compositional_MI2V/subject2/00090_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00090_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00090_background.png,"The fox in the first image opens its mouth to talk, raises its right hand over the background in the third image. The bird in the second image flutters gently in place."
00091,IntelligentVBench/images/Compositional_MI2V/subject2/00091_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00091_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00091_background.png,"The woman in the first image stands beside the dining table, moving her hands over items while talking over the background in the third image. The woman in the second image stays near the sink,  remaining still."
00092,IntelligentVBench/images/Compositional_MI2V/subject2/00092_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00092_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00092_background.png,"A woman holds the white pump bottle from the first image and the white jar with a blue lid from the second image over the background shown in the third image, talking with expressive facial expressions."
00093,IntelligentVBench/images/Compositional_MI2V/subject2/00093_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00093_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00093_background.png,"The man in the first image talks continuously over the background in the third image, one hand steady near his mouth. The girl in the second image, starting by looking at the camera, leans toward the man in the first image, smiles widely, rests her cheek on the man's neck."
00094,IntelligentVBench/images/Compositional_MI2V/subject2/00094_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00094_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00094_background.png,"The girl with long silver hair in the first image remains kneeling, her expression shifting as she talks over the background shown in the third image. The boy with brown hair in the second image touches the dirt pile, interacting with the soil."
00095,IntelligentVBench/images/Compositional_MI2V/subject2/00095_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00095_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00095_background.png,"The woman in the first image sits with a somber expression, hands close to her chest over the background in the third image. She brings her hands together, revealing the wooden bowl in the second image with her mouth opening into a joyful, excited smile."
00096,IntelligentVBench/images/Compositional_MI2V/subject2/00096_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00096_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00096_background.png,"The blue train engine in the first image talks while swaying, its mouth moving, eyes blinking, and head nodding over the background in the third image. The green train engine in the second image stands still, blinking occasionally with a gentle smile."
00097,IntelligentVBench/images/Compositional_MI2V/subject2/00097_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00097_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00097_background.png,"The woman in the first image begins by talking, her mouth opening wide before closing again. She holds a yellow box of nail polish strips in the second image, which she raises slightly before moving it completely out of sight."
00098,IntelligentVBench/images/Compositional_MI2V/subject2/00098_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00098_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00098_background.png,The woman in the first image holds up the light-colored dress in the second image while talking animatedly over the background in the third image.
00099,IntelligentVBench/images/Compositional_MI2V/subject2/00099_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00099_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00099_background.png,"The baby in the first image moves a yellow duck over and gently places it into a blue basin in the background shown in the third image. The red bear in the second image turns toward the baby and the basin, watching as its mouth moves slightly."
00100,IntelligentVBench/images/Compositional_MI2V/subject2/00100_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00100_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00100_background.png,"The man in the first image slowly raises the spear in the second image over the background in the third image, twisting his torso as he lifts the spear to shoulder level."
00101,IntelligentVBench/images/Compositional_MI2V/subject2/00101_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00101_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00101_background.png,"The camera moves slightly backward and forward, showing the blue Nike basketball shoe in the first image and the two orange Nike shoeboxes in the second image over the background in the third image."
00102,IntelligentVBench/images/Compositional_MI2V/subject2/00102_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00102_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00102_background.png,"The woman with blue and pink hair in the first image begins by talking over the background shown in the third image. While speaking, she holds a black platform shoe  in the second image up near a microphone, moving it back and forth."
00103,IntelligentVBench/images/Compositional_MI2V/subject2/00103_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00103_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00103_background.png,"The man in the first image talks, with his mouth opening and closing and his head moving slightly over the background in the third image. Later, he lifts the glass of beer in the second image towards his face and tilts it back to sip."
00104,IntelligentVBench/images/Compositional_MI2V/subject2/00104_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00104_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject2/00104_background.png,"The woman in the first image maintains her pose but her expression softens into a wide smile as she looks up and to the side, talking over the background shown in the third image. The man in the second image, holding a coffee cup, lowers his right arm after adjusting his cap backward."
